Buff ID;Item Name;Max Buy Price (RMB);Min Sell Price (RMB);Quick Price (RMB);Reference Price (RMB);Steam Market Price (USD);Steam Market URL
34235;Autograph Capsule | Team eBettle | Cologne 2015;16;20.9;20.8;20.9;3.16;https://steamcommunity.com/market/listings/730/Autograph%20Capsule%20%7C%20Team%20eBettle%20%7C%20Cologne%202015
40929;Sticker | Team Immunity | Cologne 2015;19.3;21.61;21.51;21.61;4.06;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Team%20Immunity%20%7C%20Cologne%202015
34176;Autograph Capsule | Flipsid3 Tactics | Cologne 2015;15.5;33.44;33.34;33.44;5.42;https://steamcommunity.com/market/listings/730/Autograph%20Capsule%20%7C%20Flipsid3%20Tactics%20%7C%20Cologne%202015
34168;Autograph Capsule | Counter Logic Gaming | Cologne 2015;5;23.84;21.17;21.27;3.05;https://steamcommunity.com/market/listings/730/Autograph%20Capsule%20%7C%20Counter%20Logic%20Gaming%20%7C%20Cologne%202015
34230;Autograph Capsule | Team Liquid | Cluj-Napoca 2015;33;43;42.9;43;6.35;https://steamcommunity.com/market/listings/730/Autograph%20Capsule%20%7C%20Team%20Liquid%20%7C%20Cluj-Napoca%202015
40242;Sticker | Golden (Gold) | Boston 2018;800;1182;1181.5;1182;181.17;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Golden%20%28Gold%29%20%7C%20Boston%202018
35536;MLG Columbus 2016 Cache Souvenir Package;86;105.43;104.93;105.43;17.86;https://steamcommunity.com/market/listings/730/MLG%20Columbus%202016%20Cache%20Souvenir%20Package
40026;Sticker | Dosia (Gold) | Krakow 2017;1700;2350;2349.5;2350;830.6;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Dosia%20%28Gold%29%20%7C%20Krakow%202017
38375;StatTrak™ CZ75-Auto | Tread Plate (Field-Tested);35.1;44.85;44.75;44.85;7.88;https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20CZ75-Auto%20%7C%20Tread%20Plate%20%28Field-Tested%29
872469;★ StatTrak™ Falchion Knife | Lore (Well-Worn);850;1100;1099.5;1100;283.65;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Falchion%20Knife%20%7C%20Lore%20%28Well-Worn%29
40067;Sticker | Edward (Gold) | Krakow 2017;2110;4500;4499.5;4500;1200;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Edward%20%28Gold%29%20%7C%20Krakow%202017
35377;MAC-10 | Commuter (Well-Worn);7.8;28.78;28.68;28.78;4.23;https://steamcommunity.com/market/listings/730/MAC-10%20%7C%20Commuter%20%28Well-Worn%29
41178;Sticker | balblna (Foil) | Boston 2018;14.1;24;23.9;24;4.88;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20balblna%20%28Foil%29%20%7C%20Boston%202018
39817;StatTrak™ XM1014 | Tranquility (Well-Worn);59;99.65;99.55;99.65;15.34;https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20XM1014%20%7C%20Tranquility%20%28Well-Worn%29
41387;Sticker | fer (Foil) | MLG Columbus 2016;61;99;79.09;79.19;11.32;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20fer%20%28Foil%29%20%7C%20MLG%20Columbus%202016
39459;StatTrak™ SCAR-20 | Crimson Web (Factory New);185;209;208.5;209;40.91;https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20SCAR-20%20%7C%20Crimson%20Web%20%28Factory%20New%29
38569;StatTrak™ Five-SeveN | Hyper Beast (Well-Worn);221;275.55;275.05;275.55;42.29;https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20Five-SeveN%20%7C%20Hyper%20Beast%20%28Well-Worn%29
761041;Sticker | paz (Gold) | London 2018;190;2270;484.81;485.31;69.37;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20paz%20%28Gold%29%20%7C%20London%202018
836526;Sealed Graffiti | Recoil SG 553 (SWAT Blue);2;4.4;4.39;4.4;0.66;https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Recoil%20SG%20553%20%28SWAT%20Blue%29
40380;Sticker | KRIMZ (Foil) | MLG Columbus 2016;22.4;30;29.9;30;4.71;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20KRIMZ%20%28Foil%29%20%7C%20MLG%20Columbus%202016
37592;Souvenir Dual Berettas | Contractor (Minimal Wear);30.1;102.8;73.64;73.74;10.54;https://steamcommunity.com/market/listings/730/Souvenir%20Dual%20Berettas%20%7C%20Contractor%20%28Minimal%20Wear%29
42119;UMP-45 | Metal Flowers (Well-Worn);5.1;15;8.87;8.88;1.27;https://steamcommunity.com/market/listings/730/UMP-45%20%7C%20Metal%20Flowers%20%28Well-Worn%29
760970;Sticker | KRIMZ (Gold) | London 2018;172;234.9;234.4;234.9;88.9;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20KRIMZ%20%28Gold%29%20%7C%20London%202018
40558;Sticker | NEO | Cologne 2015;4.9;13.7;9.36;9.37;1.34;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20NEO%20%7C%20Cologne%202015
836342;Sealed Graffiti | Recoil AK-47 (Cash Green);6.2;17.1;14.66;14.76;2.11;https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Recoil%20AK-47%20%28Cash%20Green%29
836361;Sealed Graffiti | Recoil M4A4 (Dust Brown);0;6.77;6.76;6.77;1.08;https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Recoil%20M4A4%20%28Dust%20Brown%29
37799;Souvenir MP7 | Orange Peel (Factory New);82;95.49;95.39;95.49;17.55;https://steamcommunity.com/market/listings/730/Souvenir%20MP7%20%7C%20Orange%20Peel%20%28Factory%20New%29
34162;Autograph Capsule | Challengers (Foil) | Cologne 2016;260;319;318.5;319;57.87;https://steamcommunity.com/market/listings/730/Autograph%20Capsule%20%7C%20Challengers%20%28Foil%29%20%7C%20Cologne%202016
42272;XM1014 | Fallout Warning (Factory New);21;315;314.5;315;46.65;https://steamcommunity.com/market/listings/730/XM1014%20%7C%20Fallout%20Warning%20%28Factory%20New%29
41214;Sticker | byali (Foil) | Cluj-Napoca 2015;32;35.49;33.69;33.79;4.83;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20byali%20%28Foil%29%20%7C%20Cluj-Napoca%202015
41468;Sticker | gla1ve (Gold) | Krakow 2017;2200;3080;3079.5;3080;492.85;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20gla1ve%20%28Gold%29%20%7C%20Krakow%202017
36281;PP-Bizon | Modern Hunter (Factory New);421;890;889.5;890;223.57;https://steamcommunity.com/market/listings/730/PP-Bizon%20%7C%20Modern%20Hunter%20%28Factory%20New%29
41525;Sticker | jdm64 | Atlanta 2017;19.1;24.8;24.7;24.8;5.11;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20jdm64%20%7C%20Atlanta%202017
40669;Sticker | Pimp (Foil) | Cluj-Napoca 2015;150;2000;496.85;497.35;71.09;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Pimp%20%28Foil%29%20%7C%20Cluj-Napoca%202015
38042;Souvenir Sawed-Off | Snake Camo (Factory New);54;187;132.42;132.92;19;https://steamcommunity.com/market/listings/730/Souvenir%20Sawed-Off%20%7C%20Snake%20Camo%20%28Factory%20New%29
37643;Souvenir G3SG1 | Jungle Dashed (Battle-Scarred);9.1;70;35.79;35.89;5.13;https://steamcommunity.com/market/listings/730/Souvenir%20G3SG1%20%7C%20Jungle%20Dashed%20%28Battle-Scarred%29
761246;Sticker | MSL (Gold) | London 2018;400;818.88;773.96;774.46;110.7;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20MSL%20%28Gold%29%20%7C%20London%202018
41007;Sticker | Vega Squadron (Foil) | Boston 2018;62;85.78;75.32;75.42;10.78;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Vega%20Squadron%20%28Foil%29%20%7C%20Boston%202018
37558;Souvenir Desert Eagle | Hand Cannon (Factory New);4220;5328;5327.5;5328;946.69;https://steamcommunity.com/market/listings/730/Souvenir%20Desert%20Eagle%20%7C%20Hand%20Cannon%20%28Factory%20New%29
40683;Sticker | RUBINO (Foil) | Atlanta 2017;0;299.9;299.4;299.9;56.44;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20RUBINO%20%28Foil%29%20%7C%20Atlanta%202017
41929;Sticker | waterfaLLZ (Foil) | Boston 2018;12.1;27;24.25;24.35;3.48;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20waterfaLLZ%20%28Foil%29%20%7C%20Boston%202018
37683;Souvenir Glock-18 | Candy Apple (Factory New);501;3999;3998.5;3999;1541.03;https://steamcommunity.com/market/listings/730/Souvenir%20Glock-18%20%7C%20Candy%20Apple%20%28Factory%20New%29
776759;Glock-18 | Synth Leaf (Well-Worn);781;8877;814.04;814.54;116.43;https://steamcommunity.com/market/listings/730/Glock-18%20%7C%20Synth%20Leaf%20%28Well-Worn%29
42036;Tec-9 | Terrace (Battle-Scarred);260;11800;601.23;601.73;86.01;https://steamcommunity.com/market/listings/730/Tec-9%20%7C%20Terrace%20%28Battle-Scarred%29
41267;Sticker | coldzera (Foil) | Atlanta 2017;153;185;184.5;185;39.75;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20coldzera%20%28Foil%29%20%7C%20Atlanta%202017
41744;Sticker | oskar (Gold) | Krakow 2017;1100;2600;2599.5;2600;1790;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20oskar%20%28Gold%29%20%7C%20Krakow%202017
41137;Sticker | aizy (Gold) | Boston 2018;390;750;749.5;750;253.05;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20aizy%20%28Gold%29%20%7C%20Boston%202018
35482;MAG-7 | Hard Water (Well-Worn);5.3;127;9.15;9.16;1.31;https://steamcommunity.com/market/listings/730/MAG-7%20%7C%20Hard%20Water%20%28Well-Worn%29
41734;Sticker | olofmeister | Atlanta 2017;11.4;23.5;23.4;23.5;4.42;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20olofmeister%20%7C%20Atlanta%202017
40575;Sticker | Natus Vincere (Holo) | Katowice 2014;150;69999;69998.5;69999;10238.61;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Natus%20Vincere%20%28Holo%29%20%7C%20Katowice%202014
43886;★ StatTrak™ Shadow Daggers | Slaughter (Field-Tested);650;2050;1098.64;1099.14;157.11;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Shadow%20Daggers%20%7C%20Slaughter%20%28Field-Tested%29
